R,G,B,Depth,NDVI
96.38232422,107.5910645,101.3276367,0.844297159,0.692214722
147.59375,152.456543,141.9804688,0.980445847,0.695516673
117.1723633,127.5065918,148.8278809,1.027495166,0.588309906
104.6201172,114.371582,107.0517578,0.930240767,0.705203909
135.1022949,156.7983398,147.4038086,1.09067388,0.748844742
128.1582031,143.1494141,140.5925293,0.924231245,0.739064873
106.2265625,116.3664551,113.2004395,0.934188765,0.671161134
66.17382813,75.58178711,71.80615234,1.110658012,0.694392916
40.53198242,68.81225586,129.3503418,1.168768366,0.700148033
74.49951172,88.75024414,83.68798828,1.082911673,0.714199025
66.00317383,80.83203125,75.82373047,1.038517139,0.75893482
71.10058594,88.58325195,85.43359375,0.975790818,0.741514521
96.17675781,107.1762695,103.9624023,0.933901656,0.601453234
62.37646484,71.26806641,67.27783203,1.142505181,0.679853279
40.74658203,70.87792969,140.7160645,1.154749567,0.66578897
72.29492188,87.66796875,83.24951172,1.032754932,0.673181603
62.66674805,77.1262207,72.01782227,1.038477344,0.709789466
82.31298828,99.55322266,96.38574219,0.964997849,0.684255465
151.6970215,156.9221191,154.3742676,0.668908235,0.59838663
215.2880859,211.4204102,208.199707,0.747417028,0.616784002
144.4343262,146.8381348,139.6064453,0.835243936,0.567258721
145.3166504,145.2680664,142.5202637,0.890394329,0.647486234
140.487793,143.4331055,135.6184082,0.700295443,0.6868656
129.4936523,130.4494629,125.1577148,0.985432908,0.673918333
149.777832,155.6604004,153.3452148,0.600231718,0.576514286
215.1901855,211.1313477,208.5373535,0.763806921,0.675445764
130.8527832,135.0322266,127.7131348,0.851115763,0.56991909
147.6237793,147.6711426,144.5444336,0.841746378,0.576422465
144.4892578,147.0212402,140.1142578,0.729785679,0.668291883
117.6105957,119.8679199,115.0256348,1.001483446,0.644735628
47.04345703,58.50756836,52.55639648,1.028346973,0.322016947
41.17553711,62.69165039,103.0876465,1.009140185,0.685498636
111.2495117,123.1650391,127.0466309,0.797383095,0.419595994
59.22314453,70.73925781,62.74316406,0.952863571,0.668124187
69.56274414,83.98754883,73.24145508,0.932539595,0.725090426
47.73950195,75.4621582,93.0612793,1.00287578,0.656670006
48.28735352,59.92797852,53.47631836,1.045884815,0.317762483
42.59082031,62.07763672,94.62597656,1.017554736,0.680134342
101.9631348,115.9025879,126.2993164,0.944576217,0.437939449
62.38842773,74.25805664,65.85913086,0.950389205,0.668019555
65.57299805,79.65991211,69.29516602,0.922002241,0.726988119
49.11914063,76.50585938,94.19384766,0.986626512,0.662942603
72.68408203,96.43457031,95.60498047,0.841040323,0.602032777
38.4855957,60.79833984,67.32373047,1.065913625,0.677666292
29.89648438,49.67675781,38.47949219,1.108002494,0.674166869
32.77368164,56.98291016,51.47119141,1.065246144,0.666372635
20.53930664,40.51977539,38.72192383,1.132421929,0.671811109
45.85131836,67.62207031,55.99462891,0.999228319,0.674649498
72.1262207,95.42138672,95.62792969,0.871141643,0.609193051
39.15942383,60.50317383,65.88305664,1.065560597,0.679374967
30.4675293,50.05908203,38.84863281,1.106414847,0.676798482
33.03808594,56.76635742,51.2565918,1.076650198,0.664607384
20.80102539,40.36376953,38.17382813,1.163106256,0.668225775
46.34960938,68.25537109,56.41015625,1.048227833,0.675407458
77.140625,92.59033203,94.96142578,1.078753713,0.363540858
105.6691895,115.4108887,113.8361816,0.912856977,0.533413677
67.37548828,88.60644531,92.31933594,1.024057422,0.591242166
